id	name	color	job	childid	speed	size	skillBattle	hp	mp	attPhy	defPhy	attMag	defMag	knock	defKnock	hit	dodge	cloth	head	shoes	weapon
1	测试张飞	5	5	2005	200	50	1101;1102;1103;1104;1105;1108;11201	1000	100	99	40	15	30	60	40	80	40	1	2	3	8
2	测试赵云	5	1	2001	200	30	2401;2402;2403;2404;2405;10201	500	100	97	50	60	30	20	60	85	60	1	2	3	7
3	军阀骑将男	5	2	2002	400	30	601;602;605;606;611	800	100	97	30	60	30	20	60	85	60	1	2	3	8
4	军阀弓兵	5	3	2003	200	30	501;503	500	100	90	20	60	40	20	60	85	60	4	5	6	9
5	标准步将	5	1	2002	200	30	2401;2402;2403;2404;2405;10201	1000	100	90	50	0	40	20	60	85	60	1	2	3	7
6	标准枪将	5	5	2002	200	30	1101;1102;1103;1104;1105;1108;11201	1000	100	90	50	0	40	20	60	85	60	1	2	3	8
7	标准骑将	5	2	2002	200	30	601;602;605;606;611	800	100	90	50	0	40	20	60	85	60	1	2	3	8
8	标准弓将	5	3	2002	200	30	1005;1003;1004;1001	500	100	90	30	0	30	20	60	85	60	4	5	6	9
9	标准谋将	5	4	2002	200	30	1503;1501;1502	500	100	0	30	90	30	20	60	85	60	4	5	6	7
10	主角	5	2	2002	400	30	601;602;605;606	800	100	97	40	60	40	20	60	85	60	1	2	3	8
11	女主角	5	2	2002	400	30	701;702;705;706	800	100	97	40	60	40	20	60	85	60	1	2	3	8
1001	许褚	5	1	2001	200	50	2101;2102;2103;2104;2105	1000	100	90	20	60	40	60	40	80	40	1	2	3	7
1002	赵云	5	1	2001	200	30	2401;2402;2403;2404;2405;10201	1000	100	90	20	60	40	20	60	85	60	1	2	3	7
1003	管亥	5	1	2001	200	30	301;302;303;304	1000	100	90	20	60	40	20	60	85	60	1	2	3	7
1004	张薇薇	5	4	2004	200	30	2301;2302;2303	500	100	0	30	90	30	20	60	85	60	4	5	6	7
1005	华雄	5	5	2005	200	30	1101;1102;1103;1104;1105;1108;11201	1000	100	90	20	60	40	20	60	85	60	1	2	3	8
1006	徐晃	5	3	2003	200	30	1005;1003;1004;1001	500	100	90	30	0	30	20	60	85	60	4	5	6	9
1007	蔡文姬	5	4	2004	200	30	1503;1501;1502	500	100	0	30	90	30	20	60	85	60	4	5	6	7
1008	典韦	5	5	2005	200	50	1101;1102;1103;1104;1105;1108;11201	1000	100	90	20	60	40	20	60	85	60	1	2	3	8
1009	贾诩	5	4	2004	200	30	403;401;405	500	100	60	20	97	40	20	60	85	60	4	5	6	7
1010	邹氏	5	5	2005	200	30	2501;2502;2503;2504;2505	1000	100	90	20	60	40	20	60	85	60	1	2	3	8
1011	张辽	5	2	2002	200	30	2201;2202;2204;2205;2206	800	100	90	30	0	30	20	60	85	60	1	2	3	8
1012	陈宫	5	4	2004	200	30	1005;1003;1004;1001	500	100	0	30	90	30	20	60	85	60	4	5	6	7
1013	吕玲绮	5	1	2001	200	30	801;802;803;804;805;10201	1000	100	90	20	60	40	20	60	85	60	1	2	3	7
1014	颜良	5	2	2002	400	30	601;602;605;606	800	100	90	20	60	40	20	60	85	60	1	2	3	8
1015	文丑	5	2	2002	400	30	601;602;605;606	800	100	90	20	60	40	20	60	85	60	1	2	3	8
1016	张合	5	5	2005	200	30	1101;1102;1103;1104;1105;1108;11201	1000	100	90	20	60	40	20	60	85	60	1	2	3	8
1017	纪灵	5	2	2002	400	30	2201;2202;2205;2206	800	100	90	20	60	40	20	60	85	60	1	2	3	8
1018	甄姬	5	3	2003	200	30	1305;1303;1304;1301	500	100	90	30	0	30	20	60	85	60	4	5	6	9
2001	刀盾兵	5	1	0	200	20	201;202;204	200	100	60	30	0	10	10	60	60	20	1	2	3	7
2002	骑兵	5	2	0	400	20	901;903	160	100	60	30	0	10	10	60	60	20	1	2	3	8
2003	弓箭兵	5	3	0	200	20	503;501	50	100	60	10	0	30	10	60	60	20	4	5	6	9
2004	谋士	5	4	0	200	20	1403;1401;1402	50	100	0	10	60	30	10	60	60	20	4	5	6	7
2005	长枪兵	5	5	0	200	20	1601;1602;1603	200	100	60	30	0	10	10	60	60	20	1	2	3	8
2101	刀盾兵	5	1	0	200	20	4	180	100	60	15	0	15	10	60	60	20	1	2	3	7
2102	骑兵	5	2	0	400	20	5	140	100	60	15	0	15	10	60	60	20	1	2	3	8
2103	弓箭兵	5	3	0	200	20	503;501	40	100	60	10	0	30	10	60	60	20	4	5	6	9
2104	谋士	5	4	0	200	20	1403;1401	40	100	0	10	60	30	10	60	60	20	4	5	6	7
2105	长枪兵	5	5	0	200	20	4	180	100	60	15	0	15	10	60	60	20	1	2	3	8
2301	弓箭兵	5	3	0	200	20	6	40	100	0	10	60	30	10	60	60	20	4	5	6	9
3001	张梁	5	2	2002	400	30	1201;1203;1204;1205	800	100	97	40	60	40	20	60	85	60	1	2	3	8
3002	关羽	5	5	2005	400	30	1701;1702;1703;1704;1705;1708	1000	100	99	40	15	30	60	40	80	40	1	2	3	8
3003	黄巾弓将	5	3	2003	200	30	1805;1803;1804;1801	500	100	90	30	0	30	20	60	85	60	4	5	6	9
3004	黄巾枪将	5	5	2005	200	50	1901;1902;1903;1904;1905;1908	1000	100	90	20	60	40	20	60	85	60	1	2	3	8
3005	张角	5	4	2004	200	30	2001;2002;2003	500	100	0	10	60	30	10	60	60	20	4	5	6	7
