id	exp	troop
1	1000	3
2	3000	3
3	5000	3
4	7000	3
5	9000	3
6	11000	3
7	13000	3
8	15000	3
9	17000	3
10	19000	4
11	21000	4
12	23000	4
13	25000	4
14	27000	4
15	29000	4
16	31000	4
17	33000	4
18	35000	4
19	37000	4
20	39000	5
21	41000	5
22	43000	5
23	45000	5
24	47000	5
25	49000	5
26	51000	5
27	53000	5
28	55000	5
29	57000	5
30	59000	6
31	61000	6
32	63000	6
33	65000	6
34	67000	6
35	69000	6
36	71000	6
37	73000	6
38	75000	6
39	77000	6
40	79000	6
41	81000	6
42	83000	6
43	85000	6
44	87000	6
45	89000	6
46	91000	6
47	93000	6
48	95000	6
49	97000	6
50	99000	6
51	101000	6
52	103000	6
53	105000	6
54	107000	6
55	109000	6
56	111000	6
57	113000	6
58	115000	6
59	117000	6
60	119000	6
61	121000	6
62	123000	6
63	125000	6
64	127000	6
65	129000	6
66	131000	6
67	133000	6
68	135000	6
69	137000	6
70	139000	6
71	141000	6
72	143000	6
73	145000	6
74	147000	6
75	149000	6
76	151000	6
77	153000	6
78	155000	6
79	157000	6
80	159000	6
81	161000	6
82	163000	6
83	165000	6
84	167000	6
85	169000	6
86	171000	6
87	173000	6
88	175000	6
89	177000	6
90	179000	6
91	181000	6
92	183000	6
93	185000	6
94	187000	6
95	189000	6
96	191000	6
97	193000	6
98	195000	6
99	197000	6
100	199000	6
101	201000	6
102	203000	6
103	205000	6
104	207000	6
105	209000	6
106	211000	6
107	213000	6
108	215000	6
109	217000	6
110	219000	6
111	221000	6
112	223000	6
113	225000	6
114	227000	6
115	229000	6
116	231000	6
117	233000	6
118	235000	6
119	237000	6
120	239000	6
121	241000	6
122	243000	6
123	245000	6
124	247000	6
125	249000	6
126	251000	6
127	253000	6
128	255000	6
129	257000	6
130	259000	6
131	261000	6
132	263000	6
133	265000	6
134	267000	6
135	269000	6
136	271000	6
137	273000	6
138	275000	6
139	277000	6
140	279000	6
141	281000	6
142	283000	6
143	285000	6
144	287000	6
145	289000	6
146	291000	6
147	293000	6
148	295000	6
149	297000	6
150	299000	6
151	301000	6
152	303000	6
153	305000	6
154	307000	6
155	309000	6
156	311000	6
157	313000	6
158	315000	6
159	317000	6
160	319000	6
161	321000	6
162	323000	6
163	325000	6
164	327000	6
165	329000	6
166	331000	6
167	333000	6
168	335000	6
169	337000	6
170	339000	6

