rangeID	name	rangeType	offsetX	offsetY	radX	radY	
1	箭雨	0	0	0	0	0	
2	冰箭	0	0	0	0	0	
3	孙武后人	0	0	0	0	0	
4	步兵体形普攻	0	0	0	0	0	
5	骑兵体形普攻	0	0	0	0	0	
6	弓兵体形普射	0	0	0	0	0	
7	谋士体形普攻	0	0	0	0	0	
8	枪兵体形普攻	0	0	0	0	0	
11	许褚体形普攻	0	0	0	0	0	
12	弓兵体形普攻	0	0	0	0	0	
201	步兵横扫	0	0	0	0	0	
202	步兵劈砍	0	0	0	0	0	
203	步兵向前投掷	0	0	0	0	0	
204	步兵防御	0	0	0	0	0	
301	管亥劈砍	0	0	0	0	0	
302	管亥横扫	0	0	0	0	0	
303	管亥震地	0	0	0	0	0	
304	管亥乱锤	0	0	0	0	0	
305	管亥爆发	0	0	0	0	0	
306	管亥投掷	0	0	0	0	0	
307	管亥防御	0	0	0	0	0	
401	贾诩召唤旋风	0	0	0	0	0	
402	贾诩投掷炸弹	1	0	0	0	0	
403	贾诩劈砍	0	0	0	0	0	
404	贾诩爆发	0	0	0	0	0	
405	贾诩防御	0	0	0	0	0	
501	弓兵平射	6	0	0	0	0	
502	弓兵抛射	0	0	0	0	0	
503	弓兵劈砍	0	0	0	0	0	
504	弓兵防御	0	0	0	0	0	
601	男主劈砍	0	0	0	0	0	
602	男主挑击	0	0	0	0	0	
603	男主突刺	0	0	0	0	0	
604	男主向后劈砍	0	0	0	0	0	
605	男主横扫1	0	0	0	0	0	
606	男主横扫2	0	0	0	0	0	
607	男主挥舞	0	0	0	0	0	
608	男主爆发	0	0	0	0	0	
609	男主向前投掷	0	0	0	0	0	
610	男主向后投掷	0	0	0	0	0	
611	男主防御	0	0	0	0	0	
612	男主向后防御	0	0	0	0	0	
701	女主劈砍	0	0	0	0	0	
702	女主挑击	0	0	0	0	0	
703	女主突刺	0	0	0	0	0	
704	女主向后劈砍	0	0	0	0	0	
705	女主横扫1	0	0	0	0	0	
706	女主横扫2	0	0	0	0	0	
707	女主挥舞	0	0	0	0	0	
708	女主爆发	0	0	0	0	0	
709	女主向前投掷	0	0	0	0	0	
710	女主向后投掷	0	0	0	0	0	
711	女主防御	0	0	0	0	0	
712	女主向后防御	0	0	0	0	0	
801	吕玲绮劈砍	0	0	0	0	0	
802	吕玲绮挑击	0	0	0	0	0	
803	吕玲绮横扫1	0	0	0	0	0	
804	吕玲绮横扫2	0	0	0	0	0	
805	吕玲绮快攻	0	0	0	0	0	
806	吕玲绮爆发	0	0	0	0	0	
807	吕玲绮向前投掷	0	0	0	0	0	
808	吕玲绮向上投掷	0	0	0	0	0	
809	吕玲绮防御	0	0	0	0	0	
901	骑兵劈砍	0	0	0	0	0	
902	骑兵后劈砍	0	0	0	0	0	
903	骑兵横扫1	0	0	0	0	0	
904	骑兵投掷	0	0	0	0	0	
905	骑兵防御	0	0	0	0	0	
